study_area,geographic_unit,official_name,population_2011,census_year,male,female,source,note
Meppadi,Hazard-source administrative proxy,Meppadi Grama Panchayat,37785,2011,,,KSDMA Meppadi Landslide PDNA,Panchayat-level proxy; not a separate Mundakkai–Chooralmala census count
Achooranam,Census village,Achooranam,11998,2011,5753.0,6245.0,Census of India 2011,Official village-level Census value
Kuppadithara,Census village,Kuppadithara,9761,2011,4764.0,4997.0,Census of India 2011,Official village-level Census value
Kottathara,Census village,Kottathara,5493,2011,2647.0,2846.0,Census of India 2011,Official village-level Census value
